,,,,,,,Menu Listing,,,
,,,,,,,Nandos (Salwa Road),,,
Date/time:,,,,,,19/01/2023 11:40,,,,
Report filter:,,,,,,"Fields to display is Item Number ,Description , Price 1",,,,
,,,784,Pulled Chkn to Perfection,39,,,,,
,,,785,Pulled Chkn Wrap,23,,,,,
,,,786,Pulled Chkn Wrap 1 Side,29,,,,,
,,,787,Pulled Chkn Wrap 2 Sides,39,,,,,
,,,788,Pulled Chkn Pita,23,,,,,
,,,789,Pulled Chkn Pita 1 Side,29,,,,,
,,,790,Pulled Chkn Pita 2 Sides,39,,,,,
,,,791,Pulled Chk Sandwich,23,,,,,
,,,792,Pulled Chk Sandwich 1 S,29,,,,,
,,,793,Pulled Chk Sandwich 2 S,39,,,,,
,,,794,Sharing Platter 2,109,,,,,
,,,795,Sharing Platter 4,189,,,,,
,,,796,PERi Chkn Skewers CMB,28,,,,,
,,,797,Grl ChkTender Spicy R CMB,31,,,,,
,,,798,PERi Chk Liver Bowl CMB,31,,,,,
,,,799,Pulled Chkn Tigela CMB,33,,,,,
